0	Issue key	Component/s	Component/s	Component/s	Component/s
0	HDFS-7983				
0	HDFS-9031				
0	HDFS-9464	hdfs-client			
0	HDFS-9465	hdfs-client			
0	HDFS-10398				
0	HDFS-9030				
0	HDFS-9352				
0	HDFS-1103	datanode			
0	HDFS-7114	namenode			
0	HDFS-7053	ha	namenode		
0	HDFS-6241				
0	HDFS-6242				
0	HDFS-4940				
0	HDFS-3983	security			
0	HDFS-4849	namenode			
0	HDFS-4907	datanode			
0	HDFS-2823	ha	namenode		
0	HDFS-4630	datanode	namenode		
0	HDFS-1469	namenode			
0	HDFS-2583				
0	HDFS-1253				
0	HDFS-2244				
0	HDFS-1666	contrib/hdfsproxy			
0	HDFS-749				
1	HDFS-1376				
0	HDFS-834				
0	HDFS-833				
0	HDFS-743	namenode			
0	HDFS-1288	scripts			
0	HDFS-1002				
0	HDFS-784				
0	HDFS-7231				
0	HDFS-13737				
0	HDFS-7913				
0	HDFS-12970	hdfs			
0	HDFS-12923	erasure-coding			
0	HDFS-12918	hdfs			
0	HDFS-12715	auto-failover			
0	HDFS-12442	webhdfs			
0	HDFS-9126	namenode			
0	HDFS-12098	datanode	ozone	scm	
1	HDFS-12272	block placement			
0	HDFS-9045				
0	HDFS-3153				
0	HDFS-4368				
0	HDFS-10340	datanode			
0	HDFS-10563	namenode			
0	HDFS-4539	security			
0	HDFS-8708				
0	HDFS-2288	datanode			
0	HDFS-2433	datanode	namenode	test	
0	HDFS-8474	build	libhdfs		
1	HDFS-8315				
0	HDFS-1262	hdfs-client	namenode		
0	HDFS-60	datanode			
0	HDFS-3509				
0	HDFS-5850				
1	HDFS-2984	benchmarks			
0	HDFS-3771	namenode			
0	HDFS-4457	webhdfs			
0	HDFS-4425	namenode			
0	HDFS-2674				
1	HDFS-74				
0	HDFS-63				
0	HDFS-183				
0	HDFS-191				
0	HDFS-329				
1	HDFS-162				
0	HDFS-2600	contrib/raid			
0	HDFS-2326				
1	HDFS-2262	datanode			
0	HDFS-768	build			
0	HDFS-1401	hdfs-client			
1	HDFS-40				
0	HDFS-14159	hdfs			
0	HDFS-10369	fs			
0	HDFS-14100				
0	HDFS-13084				
0	HDFS-3455	documentation			
0	HDFS-11255	httpfs			
0	HDFS-14031	block placement			
0	HDFS-13365				
0	HDFS-7307				
0	HDFS-7777				
0	HDFS-7850				
0	HDFS-7904	nfs			
0	HDFS-8251				
0	HDFS-9055	webhdfs			
0	HDFS-9056	webhdfs			
0	HDFS-9058	webhdfs			
0	HDFS-9061	webhdfs			
0	HDFS-9778	erasure-coding			
0	HDFS-10509	build	documentation		
1	HDFS-13672				
0	HDFS-13031	hdfs			
0	HDFS-13803				
1	HDFS-13764	documentation			
0	HDFS-13751	hdfs			
0	HDFS-10357	ozone			
0	HDFS-11139	ozone			
0	HDFS-13595	ha	namenode		
0	HDFS-5123	ha			
0	HDFS-13430				
0	HDFS-6589	hdfs-client			
0	HDFS-13501				
0	HDFS-11515	namenode	shell		
0	HDFS-13354				
1	HDFS-3653	namenode			
0	HDFS-3069	namenode			
0	HDFS-5058	qjm			
0	HDFS-12707				
0	HDFS-10205	hdfs-client			
0	HDFS-13397	hdfs			
0	HDFS-7304				
0	HDFS-10388	fs			
0	HDFS-6308				
0	HDFS-12260				
0	HDFS-12928				
0	HDFS-6132				
1	HDFS-13169				
0	HDFS-10799	namenode			
0	HDFS-12921	erasure-coding			
0	HDFS-4411	build			
0	HDFS-4262	datanode			
0	HDFS-4312				
0	HDFS-5012				
0	HDFS-3821	namenode			
0	HDFS-9808				
1	HDFS-11125	datanode	namenode		
0	HDFS-4796				
0	HDFS-5831				
1	HDFS-12464	HDFS-7240			
0	HDFS-11924	security			
1	HDFS-12294	hdfs			
0	HDFS-12295	hdfs	namenode		
0	HDFS-8295				
0	HDFS-9604				
0	HDFS-9386	erasure-coding			
0	HDFS-12202	hdfs	hdfs-client		
0	HDFS-11459				
0	HDFS-9590				
0	HDFS-11944	encryption	test		
0	HDFS-11812				
0	HDFS-7239				
0	HDFS-11731	balancer & mover			
0	HDFS-11872	ozone			
1	HDFS-11819				
1	HDFS-11820	hdfs			
0	HDFS-361				
0	HDFS-10459				
0	HDFS-11284	datanode	namenode		
0	HDFS-594	hdfs-client			
0	HDFS-11501				
0	HDFS-5779				
0	HDFS-11367	hdfs-client			
0	HDFS-8796	namenode			
0	HDFS-11297	erasure-coding			
0	HDFS-8519				
0	HDFS-8518				
0	HDFS-11245	hdfs			
0	HDFS-7958	namenode			
1	HDFS-11179	namenode			
0	HDFS-6262	namenode			
0	HDFS-2569	datanode			
1	HDFS-11173				
0	HDFS-5692	hdfs-client			
0	HDFS-4483				
0	HDFS-10950	fs	test		
0	HDFS-11017	fs			
0	HDFS-4360	contrib/raid			
0	HDFS-3554	contrib/raid	test		
0	HDFS-8041				
0	HDFS-3544	contrib/raid			
0	HDFS-600	contrib/raid			
0	HDFS-3562				
0	HDFS-3908	namenode			
0	HDFS-6277				
0	HDFS-10777	datanode			
1	HDFS-10853				
0	HDFS-10708	hdfs-client			
0	HDFS-10574	webhdfs			
0	HDFS-9632	hdfs-client			
1	HDFS-9908	datanode			
0	HDFS-10767				
1	HDFS-6983				
0	HDFS-10669				
1	HDFS-9770				
0	HDFS-4311				
0	HDFS-9326	hdfs-client			
0	HDFS-10407	namenode			
0	HDFS-10504	hdfs-client			
0	HDFS-9564	balancer & mover			
0	HDFS-9563	balancer & mover			
1	HDFS-10502	fs			
0	HDFS-10373	auto-failover			
0	HDFS-10484	hdfs			
0	HDFS-9442	namenode			
0	HDFS-3747	balancer & mover			
0	HDFS-3746	balancer & mover			
1	HDFS-3361	hdfs-client			
0	HDFS-6637	namenode			
0	HDFS-4223				
0	HDFS-5712	federation			
0	HDFS-4154	ha			
0	HDFS-6436	webhdfs			
0	HDFS-5146				
0	HDFS-4475				
0	HDFS-9832	erasure-coding			
0	HDFS-10362				
0	HDFS-4469	namenode			
0	HDFS-4847	snapshots			
0	HDFS-6967	datanode	webhdfs		
1	HDFS-3705	hdfs-client			
1	HDFS-4764	test			
0	HDFS-7173	datanode			
1	HDFS-5521	datanode			
0	HDFS-7471	test			
1	HDFS-4191	namenode			
0	HDFS-5275	security			
0	HDFS-10350	hdfs	hdfs-client		
0	HDFS-10359	datanode			
0	HDFS-9938				
0	HDFS-8000				
0	HDFS-964				
0	HDFS-10194	hdfs-client			
0	HDFS-2852	build			
0	HDFS-1519	build			
0	HDFS-9819				
0	HDFS-9152	nfs			
1	HDFS-9828				
0	HDFS-9863				
0	HDFS-9824				
0	HDFS-9846	tools			
0	HDFS-9813				
0	HDFS-9520				
1	HDFS-8943	webhdfs			
0	HDFS-9716	erasure-coding			
1	HDFS-7265	datanode			
0	HDFS-9698	balancer & mover	security		
0	HDFS-6953				
0	HDFS-8701				
0	HDFS-9172				
0	HDFS-815	test			
0	HDFS-9662				
0	HDFS-8889				
0	HDFS-9617				
1	HDFS-9192	hdfs-client			
0	HDFS-9508	test			
0	HDFS-9114				
0	HDFS-9567				
0	HDFS-8011	ha			
0	HDFS-4488	webhdfs			
0	HDFS-9127				
0	HDFS-3439	balancer & mover			
0	HDFS-2220	balancer & mover			
0	HDFS-9064	namenode			
0	HDFS-8748	security			
0	HDFS-8638	namenode			
0	HDFS-8318				
1	HDFS-8246	hdfs-client	namenode		
0	HDFS-8704				
1	HDFS-7592	namenode			
0	HDFS-5263	namenode	webhdfs		
0	HDFS-5396	namenode			
0	HDFS-8333				
0	HDFS-8128	build			
0	HDFS-9298				
1	HDFS-7679				
1	HDFS-7653				
0	HDFS-8376				
0	HDFS-8426				
0	HDFS-2442	build			
0	HDFS-7768	hdfs-client			
0	HDFS-2660	test			
0	HDFS-1771	scripts			
0	HDFS-2664				
0	HDFS-2298	test			
0	HDFS-2119				
0	HDFS-5897				
0	HDFS-8784	namenode			
0	HDFS-8835	namenode			
0	HDFS-8912				
0	HDFS-8756	ozone			
0	HDFS-8685	hdfs-client			
0	HDFS-3811				
1	HDFS-3532	test			
0	HDFS-8313				
0	HDFS-8652	namenode			
0	HDFS-4746	namenode			
1	HDFS-8710				
0	HDFS-7724	build			
0	HDFS-8598				
0	HDFS-3465	federation	namenode		
1	HDFS-8625	hdfs-client			
0	HDFS-8621				
0	HDFS-8514				
0	HDFS-8459				
0	HDFS-8343				
0	HDFS-8436				
1	HDFS-7558	nfs			
0	HDFS-2685				
1	HDFS-2142	namenode			
0	HDFS-5745	datanode			
0	HDFS-923	libhdfs			
0	HDFS-8119				
0	HDFS-2009	build	test		
0	HDFS-7693	libhdfs			
0	HDFS-7271	encryption			
0	HDFS-7569	datanode			
0	HDFS-7324	ha	tools		
1	HDFS-5264	datanode	namenode		
1	HDFS-7975				
0	HDFS-7981				
0	HDFS-8006				
0	HDFS-7992				
0	HDFS-6496	namenode			
0	HDFS-5193				
0	HDFS-6940	namenode			
0	HDFS-3092	ha	namenode		
1	HDFS-2782	ha			
0	HDFS-3095	namenode			
0	HDFS-2721	test			
0	HDFS-3011	build	datanode	namenode	
0	HDFS-7605	distcp			
0	HDFS-1951	namenode			
0	HDFS-2723				
0	HDFS-2774	test			
1	HDFS-1961	documentation			
0	HDFS-1982	namenode			
0	HDFS-1247	test			
0	HDFS-1553	namenode			
0	HDFS-2336				
0	HDFS-2192	build			
1	HDFS-6111	datanode			
0	HDFS-6147	datanode			
0	HDFS-6037				
0	HDFS-5688	ha	journal-node	security	
0	HDFS-6081				
0	HDFS-957	namenode			
0	HDFS-2064	namenode			
0	HDFS-7666	datanode			
0	HDFS-135				
0	HDFS-7117	namenode			
0	HDFS-5423	datanode	namenode		
0	HDFS-7580	journal-node	namenode		
0	HDFS-7040				
0	HDFS-6239	scripts			
0	HDFS-2256	scripts			
0	HDFS-5620	namenode			
0	HDFS-3749	datanode			
0	HDFS-4010				
0	HDFS-4009				
1	HDFS-6088				
0	HDFS-7253	namenode			
0	HDFS-7070	webhdfs			
0	HDFS-11				
0	HDFS-7234				
0	HDFS-7160	namenode			
0	HDFS-5722				
0	HDFS-4198	scripts			
0	HDFS-7043	auto-failover			
0	HDFS-3543	contrib/raid			
0	HDFS-7031	hdfs-client			
0	HDFS-5204				
0	HDFS-6016	datanode	ha	hdfs-client	namenode
0	HDFS-866	libhdfs			
0	HDFS-6737	hdfs-client			
0	HDFS-1350	datanode			
0	HDFS-1294	datanode	namenode		
0	HDFS-1231	hdfs-client			
0	HDFS-1228	datanode			
0	HDFS-1115				
0	HDFS-1069				
0	HDFS-1066	namenode			
0	HDFS-1060	datanode	hdfs-client		
0	HDFS-1059				
0	HDFS-862	namenode			
0	HDFS-807	build			
0	HDFS-801	build	tools		
0	HDFS-583	namenode			
0	HDFS-6747				
0	HDFS-272				
0	HDFS-460	datanode	namenode		
0	HDFS-6554	namenode	security		
0	HDFS-269				
1	HDFS-366				
0	HDFS-4				
0	HDFS-6706				
0	HDFS-2249	fuse-dfs			
0	HDFS-465				
0	HDFS-406				
0	HDFS-408				
0	HDFS-220				
0	HDFS-232				
0	HDFS-65				
0	HDFS-293				
0	HDFS-337				
1	HDFS-281				
1	HDFS-270	datanode			
0	HDFS-188				
0	HDFS-6548				
0	HDFS-6428	webhdfs			
0	HDFS-2097				
0	HDFS-6319				
0	HDFS-4696				
0	HDFS-241				
0	HDFS-5990	tools			
0	HDFS-6139	hdfs-client			
1	HDFS-193				
0	HDFS-2076	datanode			
0	HDFS-675	namenode			
0	HDFS-6113				
1	HDFS-4814	datanode			
0	HDFS-6104				
0	HDFS-3295	balancer & mover			
1	HDFS-5446	datanode			
1	HDFS-5829				
0	HDFS-5660				
0	HDFS-5725				
0	HDFS-4600				
0	HDFS-5200	datanode			
0	HDFS-5622	namenode			
1	HDFS-5595	namenode			
0	HDFS-5566				
0	HDFS-5611	webhdfs			
0	HDFS-5607	libhdfs			
0	HDFS-5599	hdfs-client	namenode		
0	HDFS-3699				
0	HDFS-4891				
0	HDFS-5072	fuse-dfs			
0	HDFS-4747	documentation			
0	HDFS-5057				
0	HDFS-5015	hdfs-client			
0	HDFS-4991	libhdfs			
0	HDFS-3182	ha	namenode		
0	HDFS-4918	hdfs-client	namenode		
0	HDFS-4844	hdfs-client			
0	HDFS-4352	hdfs-client			
1	HDFS-4683				
0	HDFS-582	contrib/raid			
0	HDFS-326				
0	HDFS-4713	ha	namenode		
1	HDFS-4731				
0	HDFS-4703	namenode			
0	HDFS-4682	namenode			
0	HDFS-4644				
0	HDFS-4624	federation			
0	HDFS-2004	balancer & mover			
0	HDFS-2124	datanode	hdfs-client	namenode	
0	HDFS-2164	datanode	hdfs-client	namenode	
0	HDFS-4501				
0	HDFS-4343	datanode			
0	HDFS-4263				
0	HDFS-4166	namenode			
0	HDFS-4109	hdfs-client			
0	HDFS-3654				
0	HDFS-3977				
0	HDFS-3467	namenode			
0	HDFS-2911	datanode	namenode		
0	HDFS-3437	namenode			
0	HDFS-3820	test			
0	HDFS-540				
0	HDFS-2740	hdfs-client	namenode		
0	HDFS-453	namenode			
1	HDFS-950	tools			
0	HDFS-2435	webhdfs			
0	HDFS-3588	namenode			
0	HDFS-3324	datanode			
1	HDFS-3377	balancer & mover			
1	HDFS-140				
0	HDFS-3001	hdfs-client			
0	HDFS-404				
0	HDFS-3392				
0	HDFS-3430	datanode	hdfs-client	namenode	
0	HDFS-3340				
0	HDFS-2999	datanode			
0	HDFS-3311				
0	HDFS-2833				
0	HDFS-3239				
0	HDFS-3117				
0	HDFS-3112	build			
0	HDFS-1624				
0	HDFS-2926	ha			
0	HDFS-2155	hdfs-client			
1	HDFS-2990				
1	HDFS-2971	libhdfs			
0	HDFS-545	datanode	namenode		
0	HDFS-2960	ha	test		
1	HDFS-2945	benchmarks			
0	HDFS-502	test			
0	HDFS-2865	ha	namenode		
0	HDFS-2811	ha	hdfs-client	namenode	
0	HDFS-2713	ha	hdfs-client		
0	HDFS-319				
0	HDFS-2736	ha			
0	HDFS-2732	ha			
0	HDFS-105				
0	HDFS-146				
0	HDFS-44				
0	HDFS-104				
1	HDFS-102				
0	HDFS-93				
0	HDFS-55				
1	HDFS-58				
0	HDFS-61				
0	HDFS-19				
0	HDFS-5				
1	HDFS-10				
0	HDFS-21				
0	HDFS-667	contrib/hdfsproxy			
0	HDFS-1819	test			
0	HDFS-2549				
0	HDFS-2550	hdfs-client			
0	HDFS-2446	hdfs-client			
0	HDFS-2448				
0	HDFS-34				
0	HDFS-226				
0	HDFS-577				
0	HDFS-580				
0	HDFS-607				
0	HDFS-870				
0	HDFS-1049	tools			
0	HDFS-2275	namenode			
0	HDFS-2374				
0	HDFS-2357				
1	HDFS-1729	namenode			
0	HDFS-2302				
1	HDFS-2295	datanode	hdfs-client	namenode	
0	HDFS-2293	hdfs-client			
0	HDFS-1834	build			
0	HDFS-2216	datanode			
0	HDFS-474	contrib/hdfsproxy			
0	HDFS-936	contrib/hdfsproxy	test		
0	HDFS-911	contrib/hdfsproxy			
0	HDFS-2177				
0	HDFS-2122				
0	HDFS-17				
0	HDFS-1196				
0	HDFS-2091				
0	HDFS-1169				
0	HDFS-1484	build			
1	HDFS-419				
0	HDFS-418				
0	HDFS-789				
0	HDFS-1864				
0	HDFS-471	contrib/hdfsproxy			
0	HDFS-1082	documentation			
0	HDFS-1589				
0	HDFS-810	namenode			
0	HDFS-110				
0	HDFS-1563	namenode			
0	HDFS-1306				
0	HDFS-1405	datanode			
0	HDFS-1162	namenode			
0	HDFS-1171	contrib/raid			
0	HDFS-1453	contrib/raid			
0	HDFS-1415				
1	HDFS-98				
0	HDFS-1237	hdfs-client			
